away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,9617,9100,2086,1,0,0.0,0,0.0,89,0,2013-11-10,400503862,0,sunday,2320,0,0,,01:00,58,fs2
1,7471,9100,2086,0,0,1.0,0,1.0,70,0,2013-11-17,400504466,-6.5,sunday,163,0,1,,01:00,67,fs2
2,6617,9100,2086,0,0,1.0,0,1.0,85,0,2013-11-19,400504469,-6.0,tuesday,238,0,2,,23:00,77,fs1
3,6015,11500,2050,0,1,1.0,0,0.667,58,0,2013-11-23,400504474,0,saturday,2086,0,2,,19:00,59,
2,6355,9100,2086,0,2,0.333,4,0.714,79,0,2013-12-07,400498068,-13.0,saturday,155,0,5,,23:00,64,fs1
8,7035,,339,0,5,0.8,2,0.545,59,0,2013-12-21,400500037,3.5,saturday,2086,0,6,,20:05,68,
6,6504,9100,2086,0,2,0.429,8,0.818,66,0,2013-12-28,400504507,-22.5,saturday,2885,0,9,,18:00,48,fs2
11,9318,9100,2086,0,2,0.917,1,0.833,73,11,2014-01-01,400504513,2.5,wednesday,222,0,10,,00:30,76,fs1
10,10250,10250,2752,0,3,0.769,3,0.786,79,0,2014-01-04,400504516,-6.0,saturday,2086,0,11,,19:00,68,fsn
8,6163,9100,2086,0,4,0.5,8,0.714,94,0,2014-01-10,400504523,-10.0,friday,305,0,10,,00:00,99,fs1
10,9640,9100,2086,0,5,0.714,4,0.667,67,0,2014-01-12,400504526,-1.0,sunday,46,0,10,,00:00,70,fs1
10,17602,15500,156,0,2,0.625,6,0.875,88,20,2014-01-15,400504530,-13.0,wednesday,2086,0,14,,02:12,60,fs1
10,10000,9100,2086,0,7,0.588,7,0.588,69,0,2014-01-18,400504536,-1.0,saturday,269,0,10,,19:00,57,cbssn
11,2022,12993,2507,0,5,0.611,7,0.722,65,0,2014-01-22,400504541,-5.5,wednesday,2086,0,13,,02:00,56,fs1
11,10000,9100,2086,0,8,0.579,8,0.579,52,0,2014-01-25,400504545,-4.5,saturday,2599,0,11,,21:00,69,fsn
11,5826,18711,2550,0,8,0.55,9,0.6,57,0,2014-01-30,400504550,-3.5,thursday,2086,0,12,,02:00,64,fs1
12,14479,18717,269,0,10,0.571,9,0.545,69,0,2014-02-05,400504559,-7.0,wednesday,2086,0,12,,02:00,62,fs1
12,13011,20278,46,0,9,0.545,10,0.591,71,0,2014-02-08,400504562,0,saturday,2086,0,13,,18:00,63,cbs
16,6868,9100,2086,0,11,0.696,7,0.522,50,0,2014-02-12,400504567,0,wednesday,2752,0,12,,02:00,64,fs1
19,7805,9100,2086,0,12,0.826,4,0.5,63,18,2014-02-14,400504569,-8.0,friday,156,0,12,,00:00,68,cbssn
12,7002,19812,2599,0,9,0.48,13,0.654,77,0,2014-02-19,400504576,-8.5,wednesday,2086,0,17,,02:00,52,fs1
17,6857,9100,2086,0,14,0.63,10,0.462,81,0,2014-02-23,400504584,-2.5,sunday,2507,0,12,,23:00,87,fs1
12,6500,6500,222,0,3,0.444,15,0.889,67,8,2014-02-27,400504587,-14.5,thursday,2086,0,24,,01:00,48,fs1
12,6206,17500,305,0,19,0.429,16,0.367,46,0,2014-03-07,400504596,1.0,friday,2086,0,11,,02:00,79,fs1
15,7670,9100,2086,0,16,0.5,15,0.448,71,0,2014-03-08,400504599,-3.5,saturday,2550,0,13,,21:30,54,fs1
0,7652,9100,2086,1,0,0.0,0,0.0,99,0,2014-11-15,400588324,0,saturday,311,0,0,,21:30,57,
1,5409,9100,2086,0,0,0.5,1,1.0,70,0,2014-11-19,400588334,-14.5,wednesday,236,0,1,,02:00,48,
2,6058,9100,2086,0,0,0.667,1,1.0,80,0,2014-11-22,400587047,0,saturday,2352,0,2,,22:00,39,
5,10200,,282,0,3,0.833,1,0.5,54,23,2014-12-04,400586338,7.0,thursday,2086,0,3,,00:05,77,
