away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,16300,16300,2305,1,0,0.0,0,0.0,80,5,2013-11-09,400498234,0,saturday,2433,0,0,,01:00,63,espn3
1,16300,16300,2305,0,0,0.5,1,1.0,86,2,2013-11-20,400498260,0,wednesday,314,0,2,,01:00,66,espn3
3,16300,16300,2305,0,0,0.75,1,1.0,88,2,2013-11-23,400498267,0,saturday,119,0,3,,01:00,58,espn3
6,11113,11064,38,0,1,0.857,1,0.889,75,6,2013-12-07,400498294,0,saturday,2305,0,8,,20:15,72,espn2
6,12423,10151,57,0,2,0.75,2,0.75,67,13,2013-12-11,400498299,0,wednesday,2305,19,6,,00:00,61,espn
7,16300,16300,2305,0,3,0.778,2,0.7,86,18,2013-12-21,400498315,0,saturday,46,0,7,,17:00,64,espn
12,16300,16300,2305,0,3,1.0,0,0.727,93,16,2013-12-31,400498328,0,tuesday,2649,0,8,,01:00,83,espn3
11,16300,16300,2305,0,3,0.917,1,0.75,57,21,2014-01-05,400498217,0,sunday,21,16,9,,21:45,61,cbs
9,13127,11562,201,0,2,0.692,4,0.857,83,18,2014-01-09,400498344,0,thursday,2305,0,12,,00:00,90,espn2
12,16300,16300,2305,0,4,0.8,3,0.714,86,25,2014-01-11,400498348,0,saturday,2306,18,10,,19:00,60,espn
11,14384,14356,66,0,1,0.733,4,0.933,70,15,2014-01-14,400498352,0,tuesday,2305,8,14,,02:00,77,espn
15,16300,16300,2305,0,4,0.882,2,0.75,80,9,2014-01-18,400498358,0,saturday,197,15,12,,21:00,78,cbs
13,16300,,2305,0,4,0.765,4,0.765,78,24,2014-01-21,400507019,0,tuesday,239,8,13,,02:00,68,espn
14,7494,6800,2628,0,9,0.778,4,0.5,69,8,2014-01-26,400498369,0,sunday,2305,0,9,,02:00,91,espnu
15,16300,16300,2305,0,4,0.833,3,0.789,92,16,2014-01-30,400498373,0,thursday,66,6,15,,02:00,81,espnu
16,16540,16540,251,0,4,0.8,4,0.8,81,6,2014-02-01,400498378,0,saturday,2305,25,16,,21:00,69,espn
16,8305,10284,239,0,7,0.762,5,0.667,52,8,2014-02-05,400507023,0,wednesday,2305,0,14,,00:00,69,espn2
14,16300,16300,2305,0,5,0.609,9,0.773,83,8,2014-02-08,400498384,0,saturday,277,0,17,,21:00,69,espn
18,12528,12528,2306,0,7,0.783,5,0.696,85,7,2014-02-11,400498389,0,tuesday,2305,0,16,,02:00,82,espn
9,16300,16300,2305,0,6,0.391,14,0.75,95,7,2014-02-15,400498395,0,saturday,2628,0,18,,21:00,65,espn3
