away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,5295,15098,2641,1,0,0.0,0,0.0,76,0,2013-11-09,400498236,0,saturday,2277,0,0,,01:00,61,
1,4415,15098,2641,0,0,1.0,0,1.0,88,0,2013-11-12,400498023,0,tuesday,2464,0,1,,01:00,68,
2,10746,15383,333,0,1,1.0,0,0.0,76,0,2013-11-15,400498251,0,friday,2641,0,0,,02:00,64,espn2
2,4682,15098,2641,0,1,0.5,2,0.667,80,0,2013-11-19,400498258,0,tuesday,2640,0,2,,02:00,71,espnu
1,4714,15098,2641,0,1,0.25,3,0.75,68,0,2013-11-22,400498264,0,friday,2571,0,3,,01:00,54,
1,5857,15098,2641,0,2,0.167,5,0.714,94,0,2013-11-30,400498279,0,saturday,2636,0,5,,01:00,64,
6,14545,14655,12,0,0,0.75,2,1.0,79,2,2013-12-04,400498287,0,wednesday,2641,0,7,,02:00,58,pac12
2,4894,15098,2641,0,3,0.333,4,0.667,79,0,2013-12-15,400498306,0,sunday,2110,0,6,,19:00,57,
6,5985,15098,2641,0,3,0.75,2,0.7,69,0,2013-12-19,400498311,0,thursday,99,0,7,,02:00,71,espnu
7,6039,14198,9,0,2,0.636,4,0.818,76,0,2013-12-21,400498321,0,saturday,2641,0,9,,23:30,62,pac12
2,4821,15098,2641,0,4,0.182,9,0.667,100,0,2013-12-31,400498331,0,tuesday,116,0,8,,00:00,69,
12,5861,15098,2641,0,5,1.0,0,0.615,62,13,2014-01-04,400498338,0,saturday,66,0,8,,18:47,73,espn3
9,5005,15098,2641,0,6,0.643,5,0.571,86,0,2014-01-07,400498341,0,tuesday,277,0,8,,00:00,89,espn3
8,9097,16540,251,0,4,0.533,7,0.733,67,0,2014-01-12,400498350,0,sunday,2641,0,11,,01:00,64,lhn
13,9516,15098,2641,0,8,0.867,2,0.5,82,12,2014-01-16,400507017,0,thursday,239,0,8,,02:00,72,espnu
9,6055,6800,2628,0,7,0.529,8,0.563,49,0,2014-01-18,400498360,0,saturday,2641,0,9,,23:00,60,
10,5031,14000,277,0,8,0.556,8,0.556,87,0,2014-01-23,400498363,0,thursday,2641,0,10,,01:00,81,espn3
15,9317,15098,2641,0,9,0.789,4,0.526,65,25,2014-01-25,400498368,0,saturday,201,0,10,,21:00,74,espn3
